,,,,,Quantity, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,,,
Bouchra,Crypto,ALT,RelativeValue,ALT,-1860766,-274701,0.147628,-0.002919,-1.938929371,5431.575954,0,0,45224.50345,5431.575954,-274701.163,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ARKM,,,-324098,-492629,1.52,-0.03,-1.935483871,9722.94,0,0,27287.8103,9722.94,-492628.96,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ARKM,RelativeValue,,-324098,-492629,1.52,-0.03,-1.935483871,9722.94,0,0,27287.8103,9722.94,-492628.96,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ARKM,RelativeValue,ARKM,-324098,-492629,1.52,-0.03,-1.935483871,9722.94,0,0,27287.8103,9722.94,-492628.96,0,0,0,0,0,,,,,,,
Bouchra,Crypto,BTC,,,,21851008,,,,-123840.8638,0,0,2086096.085,-380908.8504,17055163.05,,-257067.669,-2281.562884,11574.24943,,,,,,,,
Bouchra,Crypto,BTC,Core,,208.5824194,14126746,67727.40266,-400.1461421,-0.587348509,-83463.45044,0,0,1573325.879,-83463.45044,14126745.51,0,0,0,0,0,,,,,,,
Bouchra,Crypto,BTC,Core,BTC,208.5824194,14126746,67727.40266,-400.1461421,-0.587348509,-83463.45044,0,0,1573325.879,-83463.45044,14126745.51,0,0,0,0,0,,,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,,,1512879,,,,0.642677824,0,0,392375.8297,0.642677824,1642898.67,,0.317652626,-459.7546873,0.112240469,,,,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,FIP,27144,268349,9.886109293,-6.68E-06,-6.75E-05,-0.181202516,0,0,19393.78065,-0.181202516,268348.5507,0,0,0,0,0,,,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF,245800,1405423,5.717749763,-3.86E-06,-6.75E-05,-0.94901263,0,0,364917.6768,-0.94901263,1405422.892,0,0,0,0,0,,,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF/16Aug2024/C7.0,-865,-160893,0.356910669,-35.32216521,-98.99966392,1.77289297,0,0,8064.372259,1.77289297,-30872.7729,32.51807709,0.317652626,-459.7546873,0.112240469,1.327844962,,,,,,,
Bouchra,Crypto,BTC,Options ,,,6211384,,,,-40378.05599,0,0,120394.3762,-297446.0427,1285518.871,,-257067.9867,-1821.808197,11574.13719,,,,,,,,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-69000=GALAXY_HK,150,4914653,2927.776175,-179.7066047,-5.783028175,-26953.31506,0,0,176219.1019,302865.7111,439166.4262,48.37680756,329819.0262,6891.502684,-23811.60823,0.721477016,,,,,,,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-70000=GALAXY_HK,250,7415473,2544.590277,-159.3281695,-5.892491679,-39826.11136,0,0,181078.5003,498878.2102,636147.5693,43.79599572,538704.3216,11356.09108,-39585.81628,0.727882404,,,,,,,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-72000=GALAXY_HK,-150,-3594315,1912.287697,-123.6039006,-6.071241745,18538.08316,0,0,-133395.6565,-280494.3515,-286843.1546,35.38021076,-299032.4347,-6428.726603,22854.29877,0.742319616,,,,,,,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-78000=GALAXY_HK,-75,-884075,806.1019422,-56.1394528,-6.510874232,4209.486455,0,0,-3458.618167,-92360.92698,-60457.64566,17.40456577,-96570.41344,-2220.581396,8443.526026,0.79397446,,,,,,,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-66000=GALAXY_HK,200,8341805,7183.710862,-269.2461493,-3.612608377,-53847.54183,0,0,1068368.86,184788.3962,1436742.172,61.58367496,238635.9381,17033.89188,-14593.92399,0.658682662,,,,,,,
