,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Beimnet,Crypto,XAI,,,-1117776.0,-399925.721712,0.357787,-0.007277999999999951,-1.9936175749523926,8135.173727999936,0.0,0.0,150073.291864,8135.173727999936,-399925.721712,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,XAI,Core,,-1117776.0,-399925.721712,0.357787,-0.007277999999999951,-1.9936175749523926,8135.173727999936,0.0,0.0,150073.291864,8135.173727999936,-399925.721712,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,XAI,Core,XAI,-1117776.0,-399925.721712,0.357787,-0.007277999999999951,-1.9936175749523926,8135.173727999936,0.0,0.0,150073.291864,8135.173727999936,-399925.721712,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,,,-204232.1459999988,-741362.6899799928,3.63,-0.040000000000000036,-1.0899182561307912,8169.285840000492,0.0,0.0,-2553193.4722853606,8169.285840000492,-741362.6899799928,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,AKT,,,-204232.1459999988,-741362.6899799928,3.63,-0.040000000000000036,-1.0899182561307912,8169.285840000492,0.0,0.0,-2553193.4722853606,8169.285840000492,-741362.6899799928,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,AKT,,,-204232.1459999988,-741362.6899799928,3.63,-0.040000000000000036,-1.0899182561307912,8169.285840000492,0.0,0.0,-2553193.4722853606,8169.285840000492,-741362.6899799928,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,AKT,,AKT,-204232.1459999988,-741362.6899799928,3.63,-0.040000000000000036,-1.0899182561307912,8169.285840000492,0.0,0.0,-2553193.4722853606,8169.285840000492,-741362.6899799928,0.0,0.0,0.0,0.0,0.0
Bouchra,,,,,,31527498.789855167,,,,-211702.65757256438,0.0,0.0,2652766.612621682,-468261.51225651795,26448509.246275105,,-256558.53524842,-4021.203571342226,11670.56844520302,
Bouchra,Crypto,,,,,30531195.710405156,,,,-212232.88024596105,0.0,0.0,2688732.221597501,-468791.7349299146,26367392.944587674,,-256558.53703132714,-6308.480062747636,11670.779638866821,
Bouchra,Crypto,ALT,,,-1860766.0,-274701.163048,0.147628,-0.002918999999999977,-1.9389293708941244,5431.575953999942,0.0,0.0,45224.50344783999,5431.575953999942,-274701.163048,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ALT,RelativeValue,,-1860766.0,-274701.163048,0.147628,-0.002918999999999977,-1.9389293708941244,5431.575953999942,0.0,0.0,45224.50344783999,5431.575953999942,-274701.163048,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ALT,RelativeValue,ALT,-1860766.0,-274701.163048,0.147628,-0.002918999999999977,-1.9389293708941244,5431.575953999942,0.0,0.0,45224.50344783999,5431.575953999942,-274701.163048,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ARKM,,,-324098.0,-492628.96,1.52,-0.030000000000000027,-1.9354838709677438,9722.940000000002,0.0,0.0,27287.81030466,9722.940000000002,-492628.96,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ARKM,RelativeValue,,-324098.0,-492628.96,1.52,-0.030000000000000027,-1.9354838709677438,9722.940000000002,0.0,0.0,27287.81030466,9722.940000000002,-492628.96,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ARKM,RelativeValue,ARKM,-324098.0,-492628.96,1.52,-0.030000000000000027,-1.9354838709677438,9722.940000000002,0.0,0.0,27287.81030466,9722.940000000002,-492628.96,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,BTC,,,,21851007.836570263,,,,-123840.86375233807,0.0,0.0,2086096.0847925423,-380908.8504499567,17055163.049171384,,-257067.66904499242,-2281.5628841745893,11574.249425941678,
Bouchra,Crypto,BTC,Core,,208.58241942,14126745.508294972,67727.40266210769,-400.14614211258595,-0.5873485089893594,-83463.45044342277,0.0,0.0,1573325.8789304225,-83463.45044342277,14126745.508294972,0.0,0.0,0.0,0.0,0.0
