,,,,, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,,,,,
Bouchra,Crypto,ALT,RelativeValue,," $(288,296)",0.154934,-0.001703,-1.087227156,3168.884498,0,0,31629.74705,3168.884498,-288295.9194,0,0,0,0,0,,,,,
Bouchra,Crypto,ALT,RelativeValue,ALT," $(288,296)",0.154934,-0.001703,-1.087227156,3168.884498,0,0,31629.74705,3168.884498,-288295.9194,0,0,0,0,0,,,,,
Bouchra,Crypto,ARKM,,," $(518,557)",1.6,-0.04,-2.43902439,12963.92,0,0,1359.970305,12963.92,-518556.8,0,0,0,0,0,,,,,
Bouchra,Crypto,ARKM,RelativeValue,," $(518,557)",1.6,-0.04,-2.43902439,12963.92,0,0,1359.970305,12963.92,-518556.8,0,0,0,0,0,,,,,
Bouchra,Crypto,ARKM,RelativeValue,ARKM," $(518,557)",1.6,-0.04,-2.43902439,12963.92,0,0,1359.970305,12963.92,-518556.8,0,0,0,0,0,,,,,
Bouchra,Crypto,BTC,,," $25,329,021 ",,,,-17344.61771,0,0,2083018.261,186140.9202,18146290.62,,203485.8456,2551.197404,-16609.85986,,,,,,
Bouchra,Crypto,BTC,Core,," $15,153,083 ",67810.73776,4.536508514,0.006690404,1013.734575,0,0,1599953.78,1013.734575,15153082.86,0,0,0,0,0,,,,,
Bouchra,Crypto,BTC,Core,BTC," $15,153,083 ",67810.73776,4.536508514,0.006690404,1013.734575,0,0,1599953.78,1013.734575,15153082.86,0,0,0,0,0,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,," $1,476,036 ",,,,5.8572025,0,0,351814.8858,5.8572025,1602336.703,,0.307679465,-461.6966726,-0.000613958,,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,FIP," $262,379 ",9.666201753,1.15E-06,1.19E-05,0.031266421,0,0,13424.6104,0.031266421,262379.3804,0,0,0,0,0,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF," $1,373,482 ",5.587804323,6.66E-07,1.19E-05,0.163670923,0,0,332977.0876,0.163670923,1373482.303,0,0,0,0,0,,,,,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF/16Aug2024/C7.0," $(159,826)",0.387572025,-38.36095328,-98.99977606,5.662265156,0,0,5413.187877,5.662265156,-33524.98015,33.05359055,0.307679465,-461.6966726,-0.000613958,1.438242251,,,,,
Bouchra,Crypto,BTC,Options ,," $8,699,902 ",,,,-18364.20949,0,0,131249.5952,185121.3285,1390871.055,,203485.5379,3012.894077,-16609.85924,,,,,,
